booked_at,account_id,counterparty_name,amount,currency,description
2025-01-03,PERS-001,Employer Corp,3200.00,EUR,Monthly salary
2025-01-04,PERS-001,Demo Shared Household,-959.24,EUR,Own transfer
2025-01-05,COMM-001,Demo Personal Household,959.24,EUR,Shared household transfer
2025-01-05,PERS-001,Revolut Top Up,-159.35,EUR,Card top up
2025-01-05,REV-001,Google Pay deposit by *8221,159.35,EUR,Top up
2025-01-07,COMM-001,Supermarket Plus,-253.71,EUR,groceries
2025-01-09,COMM-001,City Power,-85.35,EUR,utilities
2025-01-11,COMM-001,Metro Transport,-61.12,EUR,transport
2025-01-13,COMM-001,Restaurant Roma,-50.46,EUR,dining
2025-01-15,REV-001,Netflix Inc.,-15.99,EUR,entertainment
2025-01-17,REV-001,Pharmacy Central,-20.75,EUR,health
2025-01-25,PERS-001,OP-Korttiyhtiö Oyj,-193.32,EUR,OP Gold payment
2025-02-03,PERS-001,Employer Corp,3200.00,EUR,Monthly salary
2025-02-04,PERS-001,Demo Shared Household,-916.44,EUR,Own transfer
2025-02-05,COMM-001,Demo Personal Household,916.44,EUR,Shared household transfer
2025-02-05,PERS-001,Revolut Top Up,-175.46,EUR,Card top up
2025-02-05,REV-001,Google Pay deposit by *8221,175.46,EUR,Top up
2025-02-07,COMM-001,Supermarket Plus,-279.32,EUR,groceries
2025-02-09,COMM-001,City Power,-83.20,EUR,utilities
2025-02-11,COMM-001,Metro Transport,-65.14,EUR,transport
2025-02-13,COMM-001,Restaurant Roma,-52.28,EUR,dining
2025-02-15,REV-001,Netflix Inc.,-15.99,EUR,entertainment
2025-02-17,REV-001,Pharmacy Central,-20.56,EUR,health
2025-02-25,PERS-001,OP-Korttiyhtiö Oyj,-266.56,EUR,OP Gold payment
2025-03-03,PERS-001,Employer Corp,3200.00,EUR,Monthly salary
2025-03-04,PERS-001,Demo Shared Household,-917.44,EUR,Own transfer
2025-03-05,COMM-001,Demo Personal Household,917.44,EUR,Shared household transfer
2025-03-05,PERS-001,Revolut Top Up,-174.04,EUR,Card top up
2025-03-05,REV-001,Google Pay deposit by *8221,174.04,EUR,Top up
2025-03-07,COMM-001,Supermarket Plus,-266.47,EUR,groceries
2025-03-09,COMM-001,City Power,-85.35,EUR,utilities
2025-03-11,COMM-001,Metro Transport,-56.78,EUR,transport
2025-03-13,COMM-001,Restaurant Roma,-52.71,EUR,dining
2025-03-15,REV-001,Netflix Inc.,-15.99,EUR,entertainment
2025-03-17,REV-001,Pharmacy Central,-18.19,EUR,health
2025-03-25,PERS-001,OP-Korttiyhtiö Oyj,-224.07,EUR,OP Gold payment
2025-04-03,PERS-001,Employer Corp,3200.00,EUR,Monthly salary
2025-04-04,PERS-001,Demo Shared Household,-958.56,EUR,Own transfer
2025-04-05,COMM-001,Demo Personal Household,958.56,EUR,Shared household transfer
2025-04-05,PERS-001,Revolut Top Up,-182.91,EUR,Card top up
2025-04-05,REV-001,Google Pay deposit by *8221,182.91,EUR,Top up
2025-04-07,COMM-001,Supermarket Plus,-295.08,EUR,groceries
2025-04-09,COMM-001,City Power,-80.96,EUR,utilities
2025-04-11,COMM-001,Metro Transport,-59.70,EUR,transport
2025-04-13,COMM-001,Restaurant Roma,-44.51,EUR,dining
2025-04-15,REV-001,Netflix Inc.,-15.99,EUR,entertainment
2025-04-17,REV-001,Pharmacy Central,-21.22,EUR,health
2025-04-25,PERS-001,OP-Korttiyhtiö Oyj,-232.95,EUR,OP Gold payment
2025-05-03,PERS-001,Employer Corp,3200.00,EUR,Monthly salary
2025-05-04,PERS-001,Demo Shared Household,-901.14,EUR,Own transfer
2025-05-05,COMM-001,Demo Personal Household,901.14,EUR,Shared household transfer
2025-05-05,PERS-001,Revolut Top Up,-152.41,EUR,Card top up
2025-05-05,REV-001,Google Pay deposit by *8221,152.41,EUR,Top up
2025-05-07,COMM-001,Supermarket Plus,-257.46,EUR,groceries
2025-05-09,COMM-001,City Power,-87.61,EUR,utilities
2025-05-11,COMM-001,Metro Transport,-62.49,EUR,transport
2025-05-13,COMM-001,Restaurant Roma,-41.50,EUR,dining
2025-05-15,REV-001,Netflix Inc.,-15.99,EUR,entertainment
2025-05-17,REV-001,Pharmacy Central,-24.03,EUR,health
2025-05-25,PERS-001,OP-Korttiyhtiö Oyj,-237.63,EUR,OP Gold payment
2025-06-03,PERS-001,Employer Corp,3200.00,EUR,Monthly salary
2025-06-04,PERS-001,Demo Shared Household,-963.30,EUR,Own transfer
2025-06-05,COMM-001,Demo Personal Household,963.30,EUR,Shared household transfer
2025-06-05,PERS-001,Revolut Top Up,-172.69,EUR,Card top up
2025-06-05,REV-001,Google Pay deposit by *8221,172.69,EUR,Top up
2025-06-07,COMM-001,Supermarket Plus,-280.90,EUR,groceries
2025-06-09,COMM-001,City Power,-96.19,EUR,utilities
2025-06-11,COMM-001,Metro Transport,-65.28,EUR,transport
2025-06-13,COMM-001,Restaurant Roma,-42.07,EUR,dining
2025-06-15,REV-001,Netflix Inc.,-15.99,EUR,entertainment
2025-06-17,REV-001,Pharmacy Central,-18.13,EUR,health
2025-06-25,PERS-001,OP-Korttiyhtiö Oyj,-242.29,EUR,OP Gold payment
2025-07-03,PERS-001,Employer Corp,3200.00,EUR,Monthly salary
2025-07-04,PERS-001,Demo Shared Household,-908.47,EUR,Own transfer
2025-07-05,COMM-001,Demo Personal Household,908.47,EUR,Shared household transfer
2025-07-05,PERS-001,Revolut Top Up,-151.32,EUR,Card top up
2025-07-05,REV-001,Google Pay deposit by *8221,151.32,EUR,Top up
2025-07-07,COMM-001,Supermarket Plus,-299.05,EUR,groceries
2025-07-09,COMM-001,City Power,-95.70,EUR,utilities
2025-07-11,COMM-001,Metro Transport,-67.47,EUR,transport
